state,api_state
Alabama,01
Arizona,02
Arkansas,03
California,04
Colorado,05
Connecticut,06
Delaware,07
District of Columbia,08
Florida,09
Georgia,10
Idaho,11
Illinois,12
Indiana,13
Iowa,14
Kansas,15
Kentucky,16
Louisiana,17
Maine,18
Maryland,19
Massachusetts,20
Michigan,21
Minnesota,22
Mississippi,23
Missouri,24
Montana,25
Nebraska,26
Nevada,27
New Hampshire,28
New Jersey,29
New Mexico,30
New York,31
North Carolina,32
North Dakota,33
Ohio,34
Oklahoma,35
Oregon,36
Pennsylvania,37
Rhode Island,38
South Carolina,39
South Dakota,40
Tennessee,41
Texas,42
Utah,43
Vermont,44
Virginia,45
Washington,46
West Virginia,47
Wisconsin,48
Wyoming,49
Alaska,50
Hawaii,51
Alaska Offshore,55
Pacific Coast Offshore,56
Northern Gulf of Mexico,60
Atlantic Coast Offshore,61
